runtag,pass,total,conf_threshold,min_phone_ms,reject_ms,min_input_ms,long_vowel_ms,git_commit
2025-10-12_22-33-02__conf-0.05_ms-20,18,18,0.05,20,0,320,140,dd85867
2025-10-13_09-24-45__conf-0.05_ms-20,0,43,0.05,20,0,320,140,dd85867
2025-10-13_09-26-56__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-13_15-12-48__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-13_15-45-05__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-13_15-46-25__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-13_17-08-05__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-13_18-32-12__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-14_21-35-54__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
2025-10-14_22-39-44__conf-0.05_ms-20,43,43,0.05,20,0,320,140,dd85867
